2025-08-19 23:38:20 - MainProcess | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-19 23:46:06 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-19 23:46:19 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-19 23:52:25 - SpawnProcess-1 | MainThread | main.parse_pdf:94 - INFO - 开始解析PDF文件: 徐泽坤.pdf, 任务ID: 8969368a-c570-4e41-af49-d99faff52ef5
2025-08-19 23:52:25 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-19 23:52:25 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmpdbgx4wap.pdf
2025-08-19 23:52:25 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmpdbgx4wap.pdf
2025-08-19 23:52:26 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-19 23:52:26 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-19 23:52:26 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-19 23:52:26 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-19 23:52:26 - SpawnProcess-1 | MainThread | main.parse_pdf:132 - INFO - PDF解析完成: 徐泽坤.pdf, 文档数: 4
2025-08-19 23:58:27 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: 徐泽坤.pdf, 任务ID: f5764c61-c8e8-4770-bbea-157f6b60042a
2025-08-19 23:58:27 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-19 23:58:27 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmpcsjgc54j.pdf
2025-08-19 23:58:27 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmpcsjgc54j.pdf
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:112 - INFO - 初始化智谱AI嵌入模型: embedding-2
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:117 - INFO - 智谱AI嵌入模型初始化完成
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | milvus_client.__init__:44 - INFO - 初始化Milvus向量存储 - 集合: test_徐泽坤_1755619103, 模型: zhipuai
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | milvus_client.create_connection:54 - INFO - 连接到Milvus服务器: http://localhost:19530
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | milvus_client.create_connection:77 - ERROR - Milvus连接失败: <MilvusException: (code=1100, message=Invalid collection name: test_徐泽坤_1755619103. collection name can only contain numbers, letters and underscores: invalid parameter)>
2025-08-19 23:58:28 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: 徐泽坤.pdf, 错误: 无法连接到Milvus数据库
2025-08-20 00:04:35 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:07:11 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:07:41 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: 徐泽坤.pdf, 任务ID: ba0f0d1b-502a-4698-b915-27fe77df23bb
2025-08-20 00:07:41 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:07:41 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:123 - INFO - 开始解析PDF文档: C:\Users\32934\AppData\Local\Temp\tmpn70ao82f.pdf
2025-08-20 00:07:41 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:64 - INFO - 开始加载PDF文件: C:\Users\32934\AppData\Local\Temp\tmpn70ao82f.pdf
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | pdf_parser.load_pdf:71 - INFO - PDF加载完成 - 总页数: 2
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:94 - INFO - 开始文档分块 - 原始文档数: 2
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | pdf_parser.split_documents:105 - INFO - 文档分块完成 - 分块数: 4
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | pdf_parser.parse_pdf_to_documents:132 - INFO - PDF文档解析完成 - 最终文档数: 4
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:112 - INFO - 初始化智谱AI嵌入模型: embedding-2
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | embeddings.zhipuai_embedding:117 - INFO - 智谱AI嵌入模型初始化完成
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | milvus_client.__init__:44 - INFO - 初始化Milvus向量存储 - 集合: test_徐泽坤_1755619657, 模型: zhipuai
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | milvus_client.create_connection:54 - INFO - 连接到Milvus服务器: http://localhost:19530
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | milvus_client.create_connection:77 - ERROR - Milvus连接失败: <MilvusException: (code=1100, message=Invalid collection name: test_徐泽坤_1755619657. collection name can only contain numbers, letters and underscores: invalid parameter)>
2025-08-20 00:07:42 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:232 - ERROR - PDF解析并存储失败: 徐泽坤.pdf, 错误: 无法连接到Milvus数据库
2025-08-20 00:10:44 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
2025-08-20 00:11:31 - SpawnProcess-1 | MainThread | main.parse_and_store_pdf:177 - INFO - 开始解析并存储PDF文件: 徐泽坤.pdf, 任务ID: 32ad90b3-efe7-4624-924e-0a34558b0b59
2025-08-20 00:11:31 - SpawnProcess-1 | MainThread | pdf_parser.__init__:45 - INFO - PDF解析器初始化完成 - 分块大小: 1000, 重叠大小: 200
